,Unnamed: 0,ZIPCODE,lat,temp,humidity,cloudiness,STATE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
0,0,85032,33.62,52.52,37,0.01,AZ,30550,1431437,46.85554828,30550,1452036,47.52981997,22860,912702,39.92572178
1,1,85225,33.31,52.3,99,0.4,AZ,30490,1460035,47.88570023,30490,1475963,48.40810102,23580,923112,39.1480916
2,2,85308,33.66,52.52,37,0.01,AZ,29840,1865425,62.51424263,29840,1892121,63.408880700000005,24710,1279699,51.78870902
3,3,85364,32.72,61.72,16,0.0,AZ,27620,1163158,42.11288921,27620,1176616,42.60014482,18780,666360,35.48242812
4,4,85710,32.2,49.98,57,0.01,AZ,25630,1037087,40.46379243,25630,1048470,40.90792041,19600,626596,31.96918367
5,5,90003,33.97,60.06,20,0.01,CA,26180,612733,23.40462185,26180,618848,23.638197100000003,13410,196510,14.65398956
6,6,90004,34.09,59.85,20,0.01,CA,27360,1617768,59.12894737,27360,1649431,60.28622076,18590,1070238,57.57062937
7,7,90011,33.99,60.06,20,0.01,CA,36670,857731,23.39053722,36670,864961,23.58770112,18630,265130,14.23134729
8,8,90019,34.09,59.85,20,0.01,CA,28700,1273919,44.3874216,28700,1295666,45.14515679,19870,772287,38.86698541
9,9,90022,34.02,60.1,20,0.01,CA,26680,761847,28.55498501,26680,767484,28.76626687,16160,313083,19.37394802
10,10,90025,34.02,59.85,44,0.01,CA,25110,3949010,157.268419,25110,4019082,160.05902030000001,21260,3009702,141.56641580000002
11,11,90026,34.05,60.06,20,0.01,CA,31140,1376117,44.19129737,31140,1399546,44.94367373,22540,864717,38.3636646
12,12,90034,34.07,59.85,20,0.01,CA,29950,1791806,59.82657763,29950,1828572,61.05415693,24200,1248201,51.57855372
13,13,90042,34.11,60.1,20,0.01,CA,26760,1155619,43.18456652,26760,1171845,43.79091928,19380,676509,34.90758514
14,14,90044,33.96,60.06,20,0.01,CA,35790,918792,25.67175189,35790,926787,25.89513831,19700,349915,17.76218274
