,zip,lat,temp,humidity,cloudiness
0,85032,33.62,52.52,37,0.01
1,85225,33.31,52.3,99,0.4
2,85308,33.66,52.52,37,0.01
3,85364,32.72,61.72,16,0.0
4,85710,32.2,49.98,57,0.01
5,90003,33.97,60.06,20,0.01
6,90004,34.09,59.85,20,0.01
7,90011,33.99,60.06,20,0.01
8,90019,34.09,59.85,20,0.01
9,90022,34.02,60.1,20,0.01
10,90025,34.02,59.85,44,0.01
11,90026,34.05,60.06,20,0.01
12,90034,34.07,59.85,20,0.01
13,90042,34.11,60.1,20,0.01
14,90044,33.96,60.06,20,0.01
15,90046,34.09,59.85,20,0.01
16,90066,34.0,60.03,44,0.01
17,90201,33.97,60.1,20,0.01
18,90250,33.91,59.9,20,0.01
19,90255,33.98,60.06,20,0.01
20,90262,33.93,60.06,20,0.01
21,90280,33.93,60.06,20,0.01
22,90631,33.93,59.9,20,0.01
23,90640,34.02,60.1,20,0.01
24,90650,33.91,60.1,20,0.01
25,90660,33.98,60.1,20,0.01
26,90706,33.88,60.1,20,0.01
27,90731,33.75,60.08,36,0.05
28,90745,33.81,60.06,20,0.01
29,90805,33.84,60.06,20,0.01
30,91331,34.28,58.87,22,0.01
31,91335,34.24,58.44,23,0.01
32,91342,34.28,58.87,22,0.01
33,91402,34.28,58.87,22,0.01
34,91702,34.13,59.9,20,0.01
35,91706,34.09,59.9,20,0.01
36,91709,33.97,59.72,20,0.01
37,91710,34.01,59.9,20,0.01
38,91730,34.1,59.36,20,0.01
39,91744,34.02,59.9,20,0.01
40,91761,34.05,60.03,20,0.01
41,91766,34.06,59.76,20,0.01
42,91770,34.07,60.1,20,0.01
43,91910,32.64,62.04,14,0.05
44,91911,32.61,62.19,14,0.05
45,91977,32.71,62.04,14,0.05
46,92021,32.81,61.84,14,0.05
47,92056,33.2,61.54,100,0.01
48,92057,33.23,61.54,100,0.01
49,92105,32.74,61.84,14,0.05
50,92109,32.78,61.84,14,0.05
51,92114,32.7,62.04,14,0.05
52,92117,32.83,61.84,14,0.05
53,92126,32.9,61.84,14,0.05
54,92154,32.58,62.19,14,0.05
55,92335,34.09,59.14,20,0.01
56,92336,34.13,59.14,20,0.01
57,92345,34.43,57.58,20,0.01
58,92376,34.11,59.0,20,0.01
59,92503,33.92,60.03,20,0.01
60,92509,34.01,59.25,20,0.01
61,92553,33.94,59.85,16,0.01
62,92562,33.59,59.97,16,0.01
63,92592,33.49,60.26,16,0.01
64,92627,33.65,60.04,20,0.01
65,92630,33.65,60.21,20,0.01
66,92646,33.68,59.95,20,0.01
67,92647,33.72,59.95,20,0.01
68,92677,33.52,60.21,16,0.01
69,92683,33.74,59.95,20,0.01
70,92703,33.73,59.79,20,0.01
71,92704,33.73,59.79,20,0.01
72,92707,33.71,60.01,20,0.01
73,92708,33.71,59.79,20,0.01
74,92780,33.75,59.81,20,0.01
75,92801,33.86,59.95,20,0.01
76,92804,33.81,59.95,20,0.01
77,92805,33.83,59.9,20,0.01
78,92880,33.93,59.97,20,0.01
79,92882,33.82,60.15,20,0.01
80,93030,34.2,58.64,58,0.4
81,93033,34.16,58.32,58,0.4
82,93063,34.3,58.24,23,0.01
83,93065,34.27,59.22,58,0.4
84,93257,36.07,53.6,50,0.01
85,93274,36.21,53.91,54,0.2
86,93306,35.39,53.58,43,0.01
87,93307,35.32,50.92,43,0.01
88,93535,34.67,52.03,20,0.01
89,93536,34.73,51.04,21,0.01
90,93550,34.5,55.74,20,0.01
91,93722,36.84,54.81,46,0.01
92,93727,36.75,54.63,46,0.01
93,93905,36.68,55.38,70,0.01
94,94015,37.69,55.22,54,0.75
95,94080,37.65,54.91,54,0.75
96,94087,37.37,55.4,47,0.4
97,94109,37.78,55.4,58,0.01
98,94110,37.78,55.4,58,0.01
99,94112,37.71,55.22,54,0.75
100,94122,37.78,55.4,58,0.01
101,94501,37.77,55.69,58,0.75
102,94509,38.0,55.27,43,0.75
103,94513,37.93,55.63,43,0.75
104,94533,38.25,54.43,46,0.4
105,94536,37.57,55.4,43,0.75
106,94538,37.55,55.4,43,0.75
107,94541,37.67,55.85,50,0.75
108,94544,37.65,55.85,50,0.75
109,94558,38.43,53.96,46,0.4
110,94565,38.02,55.17,43,0.75
111,94587,37.61,55.4,50,0.75
112,94591,38.09,54.5,58,0.01
113,94806,37.97,55.26,58,0.01
